Problem,Problem Name,DS,Algo,Solved ?,Big O ,Why,Takeaways,Diffuculty,Date,Next Solve Date,Next Solve Date,Next Solve Date,Next Solve Date
Array / String,,,,,,,,,,,,,
88,Merge Sorted Array,Array,2 pointer,Y,o(m+n) = o(n),the algo grows linearly with the size of m and n. we can round this to big o(n) meaning the algo is running in linear time,"two ways to solve problem. Lazy and Manual. Lazy way is to add the second array of numbers to end of the first array, and use sort method. Manual way: create three check variables, 1) m-1 2)n-1 3) m+n -1. we do this to store the pos where we have nums in both arrays, and the finals pos of nums1. we then create a while loop to check FIRST, while b >=0, this checks if we have numbers in our 2nd array to compare: then in the while loop, if we have a >=0, we have numbers in first array to compare, AND, we then check for greater values, to equal to our nums1[pos] ( the third varibale we created). we insert the greater number of both then we deincriment down, either a or b in their respecitve if statement, and always deincriement pos. No need to return since, we modified in place",Easy,8/15,,,,
27,Remove Element ,Array,Array Traversal,Y,o(n),Use 1 for loop to iterate through all numbers in array. its linear bc we are at the mercy of the len of array.,"Problem is asking to modify array in place, with the numbers that are not equal to val are placed at the start of array and return the amount of nums not equal to val. To begin, we create a start varibale which is equal to 0, this will help us move nums into the start of the list, and hold the value of how many nums we have that are not equal to 0. we for loop through array, and if num does not equal val, nums[start] equal val and incriement start by 1. then return start, since it holds the amount of nums which are not equal to val, and the array should be updated to show the non val numbers in the front",Easy,8/15,,,,
80,Remove Duplicates,Array/Dict,Array/Dict Traversal,Y,o(n),"bc we iterate through list once, and add to array or dict","WE create empty dict to store freq. we run through array, and check if num is already in freq, then if the value is less than 2, if it is we append num to new list, outside of append we are always going to incriement, if not in then we assign the num to key with a value of 1. we then store array with nums we can fit, and store that back into the original array",Medium,8/16,,,,
169,Majority Element,Array/Dict,Array/Dict Traversal,Y,o(n),"traverse through array once, and dict once",assign each key their value in freq in dict. traverse through dict and return key whose value is greater than half of the len of list,Easy,8/16,,,,
189,rotate array,array manipulation,Array Traversal,Y,o(n),"we are iterating through nums, k amount of times, and len amount of times to reverse 3 times. this is all seperate from each other , so o(n) three times can be simplified to o(n)","we are given K number of steps to rotate array. We must find the module of k %= len(nums) first, bc if K is equal len of nums, then we just leave it as is, since it would rotate to start. then we reverse the entire array, and reverse the start:stop k on each side. ",Medium,8/16,,,,
121,buy sell stock,array,2 pointers ,y,o(n),"we use two pointers to solve, and the pointers are going until the end of the list, so it is linear since it is affected by the len of the list","2 pointers. create variable for max_p to store the highest num we find. we iterate thorugh list while our r pointer is less the len of list, to go thru each num. we find where right is bigger than left and store that into the loop under a variable. we then update our max_p with the highest value between curr and what maxp is already. we then incriement the right to find the curr profit of day we buy from that curr num we are on, and once we reach the end we move the left pointer up. we can either move right under the first if statement and then again under the else, after we move left one , we move right next to left, or in the else we set l equal to right and move r always by placind it outisde of our if.else statements",Easy,8/16,,,,
122,buy sell stock II,array,2 pointers,y,o(n),"we use two pointers to solve, and the pointers are going until the end of the list, so it is linear since it is affected by the len of the list","Same as part, but instead of keep tracking of maxProfit, we are keeping track of all possible profits. meaning when we find w r is greater than l. we update our curr with that and += to the total value. we the incriement by l by 1 and right by l + 1 to always restart the cycle",Medium,8/16,,,,
55,Jump Game,array,Greedy,N,o(n),"we iterate through the enumerate of list once, so it is linear, since we are going thru whole list.","# greedy algo : we only care about the max jumps each spot has, and if it can reach final# set empty int variable to store the farthest we can jump in list

# then we iterate though the enumerate of array

# we then compare if the curr index, is greater than the fartherst we can go, why ?
# we do this bc if we get to an index, which is past the farthest we can go, we can not jump any more
# on the other hand , if we can continuely jump until we reach the end of the list, we know it is possible to reach the end of the list",Medium,8/16,,,,
45,Jump Game II,array,Greedy,N,o(n),"we iterate through the range of the len of list only once and we have to go through the each num in list, so its linear","Similar to Jump Game I, we have to see the farthest possible jump each iteration has. The key differences are the values we are checking and the count we need to keep track of. We need to find the mini amount of jumps it would take to reach end of list, and we will always reach end of list. So, we keep track of count and max_jump AND the curr_jump we are on. We check to see if the curr i is equal to the curr_jump, which at first it always will be. we then update the curr jump witht the max_jump and the count by 1. we then iterate through list to see where I is equal to curr jump, and when it is we do the same, update count by 1 and update curr_jump to be the max. the problems ends when max_jump becomes out of reach for i , and i is going to be range(len(nums)-1) since we never need i to get to the end bc we know we are going to reach the end. eventually the max_jump = curr_jump would be the end of the list, and the i will end right before leaving us with the mini amount of steps needed to reach end",Medium,8/16,,,,
